2025-04-14 21:36:35,862 - ZucoExtractor - INFO - Found 32 .mat files
2025-04-14 21:36:35,895 - ZucoExtractor - INFO - Found 390 sentences in resultsYAG_TSR.mat
2025-04-14 21:36:35,914 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 0
2025-04-14 21:36:35,915 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 1
2025-04-14 21:36:35,915 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 2
2025-04-14 21:36:35,915 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 3
2025-04-14 21:36:35,915 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 4
2025-04-14 21:36:35,915 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 5
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 6
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 7
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 8
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 9
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 10
2025-04-14 21:36:35,916 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 11
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 12
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 13
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 14
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 15
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 16
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 17
2025-04-14 21:36:35,917 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 18
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 19
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 20
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 21
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 22
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 23
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 24
2025-04-14 21:36:35,918 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 25
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 26
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 27
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 28
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 29
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 30
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 31
2025-04-14 21:36:35,919 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 32
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 33
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 34
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 35
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 36
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 37
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 38
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 39
2025-04-14 21:36:35,920 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 40
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 41
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 42
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 43
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 44
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 45
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 46
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 47
2025-04-14 21:36:35,921 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 48
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 49
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 50
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 51
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 52
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 53
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 54
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 55
2025-04-14 21:36:35,922 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 56
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 57
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 58
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 59
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 60
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 61
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 62
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 63
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 64
2025-04-14 21:36:35,923 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 65
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 66
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 67
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 68
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 69
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 70
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 71
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 72
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 73
2025-04-14 21:36:35,924 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 74
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 75
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 76
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 77
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 78
2025-04-14 21:36:35,925 - ZucoExtractor - WARNING - Non-reference word data in sentence 0, word 79
